operator_id,date,date_display,safety_score,seatbelt_score,proximity_score,stability_score,smooth_operation_score
OP1001,2026-09-14,Sep 14,95.6,100.0,94.0,94.3,92.6
OP1001,2026-09-15,Sep 15,94.5,100.0,94.0,88.3,93.2
OP1001,2026-09-16,Sep 16,95.3,100.0,94.0,96.1,89.2
OP1001,2026-09-17,Sep 17,95.4,100.0,94.0,92.0,94.0
OP1001,2026-09-18,Sep 18,96.4,100.0,94.0,96.8,94.5
OP1001,2026-09-19,Sep 19,94.1,100.0,94.0,88.8,90.5
OP1001,2026-09-20,Sep 20,95.8,100.0,94.0,95.0,93.1
OP1001,2026-09-21,Sep 21,94.5,100.0,94.0,88.2,93.2
OP1002,2026-09-14,Sep 14,95.9,100.0,94.0,93.4,95.1
OP1002,2026-09-15,Sep 15,94.3,100.0,94.0,89.0,91.5
OP1002,2026-09-16,Sep 16,95.4,100.0,94.0,91.9,94.1
OP1002,2026-09-17,Sep 17,96.2,100.0,94.0,96.6,93.6
OP1002,2026-09-18,Sep 18,95.3,100.0,94.0,92.3,93.2
OP1002,2026-09-19,Sep 19,94.4,100.0,94.0,91.0,90.0
OP1002,2026-09-20,Sep 20,95.1,100.0,94.0,89.0,95.7
OP1002,2026-09-21,Sep 21,94.8,100.0,94.0,93.8,89.1
OP1003,2026-09-14,Sep 14,91.5,100.0,82.0,88.9,95.6
OP1003,2026-09-15,Sep 15,90.7,95.0,82.0,92.8,95.0
OP1003,2026-09-16,Sep 16,87.6,85.0,82.0,91.8,95.9
OP1003,2026-09-17,Sep 17,92.8,100.0,82.0,97.5,93.4
OP1003,2026-09-18,Sep 18,85.4,80.0,82.0,92.5,91.4
OP1003,2026-09-19,Sep 19,84.5,80.0,82.0,92.0,87.6
OP1003,2026-09-20,Sep 20,88.9,95.0,82.0,92.8,86.2
OP1003,2026-09-21,Sep 21,90.1,95.0,82.0,91.3,93.9
OP1004,2026-09-14,Sep 14,95.0,100.0,94.0,97.8,86.0
OP1004,2026-09-15,Sep 15,95.0,100.0,94.0,89.7,94.5
OP1004,2026-09-16,Sep 16,94.3,100.0,94.0,92.9,87.7
OP1004,2026-09-17,Sep 17,94.4,100.0,94.0,89.4,91.8
OP1004,2026-09-18,Sep 18,95.3,100.0,94.0,92.7,93.0
OP1004,2026-09-19,Sep 19,94.4,100.0,94.0,93.7,87.6
OP1004,2026-09-20,Sep 20,94.9,100.0,94.0,95.7,87.8
OP1004,2026-09-21,Sep 21,94.2,100.0,94.0,91.1,88.7
OP1005,2026-09-14,Sep 14,90.2,100.0,82.0,89.5,88.5
OP1005,2026-09-15,Sep 15,91.2,100.0,82.0,93.7,89.5
OP1005,2026-09-16,Sep 16,90.7,100.0,82.0,88.1,92.6
OP1005,2026-09-17,Sep 17,92.5,100.0,82.0,95.6,93.7
OP1005,2026-09-18,Sep 18,91.0,100.0,82.0,93.5,88.4
OP1005,2026-09-19,Sep 19,91.2,100.0,82.0,94.5,88.5
OP1005,2026-09-20,Sep 20,91.7,100.0,82.0,95.1,90.7
OP1005,2026-09-21,Sep 21,93.1,100.0,82.0,96.6,95.9
